counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
167,Which home of champagne in France was also where the German High Command surrendered in Wwii? Reims,"(['France'], ['Q142'])","('Reims', 'Q41876')",['P17'],['country'],"([('question', 'Q134862')], [['P2746']])",['Which home of _C_ in _Q_ was also where the German High Command surrendered in Wwii? _A_\n'],[True]
169,Who first drew Mickey Mouse when ?Disney first supplied the voice? Ub Iwerks,"(['Mickey Mouse'], ['Q11934'])","('Ub Iwerks', 'Q336424')",['P767'],['contributor to the creative work or subject'],"([('Q7414', 'question')], [['P822']])",['Who first drew _Q_ when ?_C_ first supplied the voice? _A_\n'],[False]
191,In which city was John Lennon murdered? New York,"(['city'], ['Q515'])","('New York', 'Q60')",['P31'],['instance of'],"([('Q1203', 'answer')], [['P20', 'P551']])",['In which _Q_ was _C_ murdered? _A_\n'],[True]
191,In which city was John Lennon murdered? New York,"(['John Lennon'], ['Q1203'])","('New York', 'Q60')",['P20'],['place of death'],"([('answer', 'Q515')], [['P31']])",['In which _C_ was _Q_ murdered? _A_\n'],[False]
202,What is the name of the mountain pass which lies between Pakistan and Afghanistan? Khyber Pass,"(['Pakistan'], ['Q843'])","('Khyber Pass', 'Q191333')",['P17'],['country'],"([('question', 'Q889')], [['P47', 'P530']])",['What is the name of the mountain pass which lies between _Q_ and _C_? _A_\n'],[True]
202,What is the name of the mountain pass which lies between Pakistan and Afghanistan? Khyber Pass,"(['Afghanistan'], ['Q889'])","('Khyber Pass', 'Q191333')",['P17'],['country'],"([('question', 'Q843')], [['P530', 'P47']])",['What is the name of the mountain pass which lies between _C_ and _Q_? _A_\n'],[True]
204,Which Syrian city is said to be the oldest continually inhabited city in the world? Damascus,"(['city'], ['Q515'])","('Damascus', 'Q3766')",['P31'],['instance of'],"([('answer', 'Q515')], [['P31']])",['Which Syrian _Q_ is said to be the oldest continually inhabited _Q_ in the world? _A_\n'],[True]
204,Which Syrian city is said to be the oldest continually inhabited city in the world? Damascus,"(['city'], ['Q515'])","('Damascus', 'Q3766')",['P31'],['instance of'],"([('answer', 'Q515')], [['P31']])",['Which Syrian _Q_ is said to be the oldest continually inhabited _Q_ in the world? _A_\n'],[True]
207,"What is the name of the cathedral in Red Square, Moscow? Saint Basil'S Cathedral","(['Red Square'], ['Q41116'])","(""Saint Basil'S Cathedral"", 'Q129846')",['P276'],['location'],"([('question', 'Q649')], [['P131']])","['What is the name of the cathedral in _Q_, _C_? _A_\n']",[True]
207,"What is the name of the cathedral in Red Square, Moscow? Saint Basil'S Cathedral","(['Moscow'], ['Q649'])","(""Saint Basil'S Cathedral"", 'Q129846')",['P131'],['located in the administrative territorial entity'],"([('Q41116', 'question')], [['P131']])","['What is the name of the cathedral in _C_, _Q_? _A_\n']",[True]
210,In which Netherlands City does The United Nations International Court Of Justice sit? The Hague,"(['Netherlands'], ['Q29999'])","('The Hague', 'Q36600')",['P1376'],['capital of'],"([('question', 'Q1065')], [['P463']])",['In which _Q_ City does The _C_ International Court Of Justice sit? _A_\n'],[True]
266,"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal? Ian Wright","(['soccer'], ['Q2736'])","('Ian Wright', 'Q312595')",['P641'],['sport'],"([('Q9617', 'question')], [['P641']])","['As at March 2001, who holds the record for scoring the most league goals for the _Q_ team _C_? _A_\n']",[True]
266,"As at March 2001, who holds the record for scoring the most league goals for the soccer team Arsenal? Ian Wright","(['Arsenal'], ['Q9617'])","('Ian Wright', 'Q312595')",['P54'],['member of sports team'],"([('question', 'Q2736')], [['P641']])","['As at March 2001, who holds the record for scoring the most league goals for the _C_ team _Q_? _A_\n']",[True]
268,Who was the American President when The Berlin Wall was constructed? John F. Kennedy,"(['American'], ['Q30'])","('Kennedy', 'Q9696')",['P27'],['country of citizenship'],"([('question', 'Q11696')], [['P1313', 'P1906']])",['Who was the _Q_ _C_ when The Berlin Wall was constructed? John F. _A_\n'],[True]
268,Who was the American President when The Berlin Wall was constructed? John F. Kennedy,"(['President'], ['Q11696'])","('Kennedy', 'Q9696')",['P39'],['position held'],"([('question', 'Q30')], [['P17', 'P1001']])",['Who was the _C_ _Q_ when The Berlin Wall was constructed? John F. _A_\n'],[True]
269,What was the first British football team to win The European Cup? Celtic,"(['British'], ['Q145'])","('Celtic', 'Q19593')",['P17'],['country'],"([('answer', 'Q2736')], [['P641']])",['What was the first _Q_ _C_ team to win The European Cup? _A_\n'],[True]
269,What was the first British football team to win The European Cup? Celtic,"(['football'], ['Q2736'])","('Celtic', 'Q19593')",['P641'],['sport'],"([('answer', 'Q145'), ('question', 'Q174193'), ('Q18756', 'question')], [['P17'], ['P495'], ['P641']])",['What was the first _C_ _Q_ team to win The European Cup? _A_\n'],[True]
284,"From which country do French fries originate? France, Belgium or Switzerland? Switzerland","(['France'], ['Q142'])","('Switzerland', 'Q39')",['P47'],['shares border with'],"([('Q152088', 'question'), ('question', 'Q31')], [['P495'], ['P47', 'P530']])","['From which country do _C_ originate? _Q_, Belgium or _A_? _A_\n']",[False]
287,What is the only football league team in Britain which doesn't have any of the letters from the word football in its name? Dundee,"(['football'], ['Q2736'])","('Dundee', 'Q335483')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])","[""What is the only _Q_ league team in Britain which doesn't have any of the letters from the word _Q_ in its name? _A_\n""]",[True]
287,What is the only football league team in Britain which doesn't have any of the letters from the word football in its name? Dundee,"(['football'], ['Q2736'])","('Dundee', 'Q335483')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])","[""What is the only _Q_ league team in Britain which doesn't have any of the letters from the word _Q_ in its name? _A_\n""]",[True]
295,"More commonly known as the thigh bone, what is the medical name for the longest bone in the human body? Femur","(['bone'], ['Q265868'])","('Femur', 'Q176503')",['P31'],['instance of'],"([('Q176503', 'question')], [['P31', 'P279']])","['More commonly known as the thigh _Q_, what is the medical name for the longest _Q_ in the human body? _A_\n']",[True]
297,"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep? Blade Runner","(['cult film'], ['Q219557'])","('Blade Runner', 'Q184843')",['P31'],['instance of'],"([('answer', 'Q81328')], [['P161']])","['Which _Q_, starring _C_, was based on the story Do Androids Dream of Electric Sheep? _A_\n']",[True]
297,"Which cult film, starring Harrison Ford, was based on the story Do Androids Dream of Electric Sheep? Blade Runner","(['Harrison Ford'], ['Q81328'])","('Blade Runner', 'Q184843')",['P161'],['cast member'],"([('answer', 'Q219557')], [['P31']])","['Which _C_, starring _Q_, was based on the story Do Androids Dream of Electric Sheep? _A_\n']",[True]
305,"Who wrote the novels About A Boy, How To Be Good and High Fidelity? Nick Hornby","(['About A Boy'], ['Q1129227'])","('Nick Hornby', 'Q313007')",['P1877'],['after a work by'],"([('Q2267374', 'answer')], [['P50']])","['Who wrote the novels _Q_, _C_ and High Fidelity? _A_\n']",[False]
305,"Who wrote the novels About A Boy, How To Be Good and High Fidelity? Nick Hornby","(['How To Be Good'], ['Q2267374'])","('Nick Hornby', 'Q313007')",['P50'],['author'],"([('Q1129227', 'answer')], [['P1877']])","['Who wrote the novels _C_, _Q_ and High Fidelity? _A_\n']",[False]
327,Which King did Guy Fawkes attempt to kill with his gunpowder plot? James Vi and I,"(['gunpowder plot'], ['Q45810'])","('James Vi', 'Q79972')",['P533'],['target'],"([('question', 'Q13898')], [['P710']])",['Which King did _C_ attempt to kill with his _Q_? _A_ and I\n'],[False]
338,"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts? Space Cowboys","(['Clint Eastwood'], ['Q43203'])","('Space Cowboys', 'Q502189')",['P57'],['director'],"([('answer', 'Q170587'), ('answer', 'Q108510'), ('answer', 'Q103784')], [['P161'], ['P161'], ['P161']])","['Which film sees _Q_, _C_, James Garner and Donald Sutherland as retired astronauts? _A_\n']",[True]
338,"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts? Space Cowboys","(['Tommy Lee Jones'], ['Q170587'])","('Space Cowboys', 'Q502189')",['P161'],['cast member'],"([('answer', 'Q43203'), ('answer', 'Q108510'), ('answer', 'Q103784')], [['P161', 'P162', 'P57'], ['P161'], ['P161']])","['Which film sees Clint Eastwood, _Q_, _C_ and Donald Sutherland as retired astronauts? _A_\n']",[True]
338,"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts? Space Cowboys","(['James Garner'], ['Q108510'])","('Space Cowboys', 'Q502189')",['P161'],['cast member'],"([('answer', 'Q43203'), ('answer', 'Q170587'), ('answer', 'Q103784')], [['P161', 'P162', 'P57'], ['P161'], ['P161']])","['Which film sees Clint Eastwood, Tommy Lee Jones, _Q_ and _C_ as retired astronauts? _A_\n']",[True]
338,"Which film sees Clint Eastwood, Tommy Lee Jones, James Garner and Donald Sutherland as retired astronauts? Space Cowboys","(['Donald Sutherland'], ['Q103784'])","('Space Cowboys', 'Q502189')",['P161'],['cast member'],"([('answer', 'Q43203'), ('answer', 'Q170587'), ('answer', 'Q108510')], [['P161', 'P162', 'P57'], ['P161'], ['P161']])","['Which film sees _C_, Tommy Lee Jones, James Garner and _Q_ as retired astronauts? _A_\n']",[True]
363,Which British footballer has the most number of International caps? Peter Shilton,"(['British'], ['Q145'])","('Peter Shilton', 'Q244799')",['P27'],['country of citizenship'],"([('answer', 'Q2736')], [['P641']])",['Which _Q_ _C_ has the most number of International caps? _A_\n'],[True]
363,Which British footballer has the most number of International caps? Peter Shilton,"(['footballer'], ['Q2736'])","('Peter Shilton', 'Q244799')",['P641'],['sport'],"([('answer', 'Q145'), ('question', 'Q174193')], [['P27'], ['P495']])",['Which _C_ _Q_ has the most number of International caps? _A_\n'],[True]
367,The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot? The Blind Beggar,"(['London'], ['Q84'])","('The Blind Beggar', 'Q7718589')",['P276'],['location'],"([('Q1283275', 'question'), ('Q739700', 'question'), ('answer', 'Q212198')], [['P19', 'P20'], ['P131'], ['P31']])",['_C_ were convicted of the murder of George Cornell in the East End of _Q_ in 1966. What was the name of the pub in which he was shot? _A_\n'],[True]
367,The Kray twins were convicted of the murder of George Cornell in the East End of London in 1966. What was the name of the pub in which he was shot? The Blind Beggar,"(['pub'], ['Q212198'])","('The Blind Beggar', 'Q7718589')",['P31'],['instance of'],"([('answer', 'Q84')], [['P276']])",['The Kray twins were convicted of the murder of George Cornell in the _C_ of London in 1966. What was the name of the _Q_ in which he was shot? _A_\n'],[True]
379,The Ducati is manufactured in which city and what country? Bologna,"(['Ducati'], ['Q271812'])","('Bologna', 'Q1891')",['P740'],['location of formation'],"([('answer', 'Q515')], [['P31']])",['The _Q_ is manufactured in which _C_ and what country? _A_\n'],[False]
379,The Ducati is manufactured in which city and what country? Bologna,"(['city'], ['Q515'])","('Bologna', 'Q1891')",['P31'],['instance of'],"([('Q271812', 'answer')], [['P740', 'P159']])",['The _C_ is manufactured in which _Q_ and what country? _A_\n'],[True]
380,Wayne Rooney signed for Manchester United from which other Premiership Club? Everton,"(['Wayne Rooney'], ['Q266613'])","('Everton', 'Q5794')",['P54'],['member of sports team'],"([('question', 'Q18656'), ('question', 'Q9448')], [['P54'], ['P118']])",['_Q_ signed for _C_ from which other Premiership Club? _A_\n'],[False]
380,Wayne Rooney signed for Manchester United from which other Premiership Club? Everton,"(['Premiership'], ['Q9448'])","('Everton', 'Q5794')",['P118'],['league'],"([('Q266613', 'question'), ('Q18656', 'question')], [['P118'], ['P118']])",['Wayne Rooney signed for Manchester United from which other _Q_ Club? _A_\n'],[True]
381,The Yalu river forms a sort of natural border between China and which of its neighbours? North Korea,"(['China'], ['Q148'])","('North Korea', 'Q423')",['P47'],['shares border with'],"([('Q55498', 'question')], [['P17', 'P205']])",['The _C_ forms a sort of natural border between _Q_ and which of its neighbours? _A_\n'],[False]
397,The Sign Of Four was a detective story written by which author? Arthur Conan Doyle,"(['The Sign Of Four'], ['Q500688'])","('Arthur Conan Doyle', 'Q35610')",['P50'],['author'],"([('question', 'Q186424')], [['P136']])",['_Q_ was a _C_ story written by which author? _A_\n'],[False]
411,In Greek mythology who was the twin of Polydeuces? Castor,"(['Greek mythology'], ['Q34726'])","('Castor', 'Q190103')",['P1049'],['worshipped by'],"([('Q190103', 'question')], [['P1049']])",['In _Q_ who was the twin of _C_? _A_\n'],[True]
416,Marilyn Monroe starred in The Seven Year Itch. Who directed it? Billy Wilder,"(['The Seven Year Itch'], ['Q290679'])","('Billy Wilder', 'Q51547')",['P57'],['director'],"([('question', 'Q4616')], [['P161']])",['_C_ starred in _Q_. Who directed it? _A_\n'],[False]
436,"In which country are the Angel Falls, the highest waterfall in the world? Venezuela","(['Angel Falls'], ['Q80299'])","('Venezuela', 'Q717')",['P17'],['country'],"([('question', 'Q34038')], [['P31']])","['In which country are the _Q_, the highest _C_ in the world? _A_\n']",[False]
440,Ecuador has a border with Peru and which other country ? Colombia,"(['Ecuador'], ['Q736'])","('Colombia', 'Q739')",['P47'],['shares border with'],"([('question', 'Q419')], [['P47']])",['_Q_ has a border with _C_ and which other country ? _A_\n'],[False]
440,Ecuador has a border with Peru and which other country ? Colombia,"(['Peru'], ['Q419'])","('Colombia', 'Q739')",['P47'],['shares border with'],"([('question', 'Q736')], [['P47']])",['_C_ has a border with _Q_ and which other country ? _A_\n'],[False]
444,"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders? Harold Shipman","(['serial killer'], ['Q484188'])","('Harold Shipman', 'Q310260')",['P101'],['field of work'],"([('answer', 'Q5635276')], [['P20']])","['Which _Q_ hanged himself in _C_ in January 2004, four years after being found guilty of 15 murders? _A_\n']",[True]
444,"Which serial killer hanged himself in Wakefield Prison in January 2004, four years after being found guilty of 15 murders? Harold Shipman","(['Wakefield Prison'], ['Q5635276'])","('Harold Shipman', 'Q310260')",['P20'],['place of death'],"([('answer', 'Q484188')], [['P101', 'P106']])","['Which _C_ hanged himself in _Q_ in January 2004, four years after being found guilty of 15 murders? _A_\n']",[True]
447,"Which British comedy actor has a refuse tip named after him in New Zealand, after he visited Palmerston, and said that it was a great place to commit suicide? John Cleese","(['British'], ['Q145'])","('John Cleese', 'Q25014')",['P27'],['country of citizenship'],"([('Q1583572', 'question')], [['P17']])","['Which _Q_ comedy actor has a refuse tip named after him in New Zealand, after he visited _C_, and said that it was a great place to commit suicide? _A_\n']",[True]
454,Who killed Robert F Kennedy? Sirhan Sirhan,"(['Robert'], ['Q25310'])","('Sirhan Sirhan', 'Q297112')",['P157'],['killed by'],"([('question', 'Q9696')], [['P3373']])",['Who killed _Q_ F _C_? _A_\n'],[False]
462,What is the name of Cs Lewis' 7 book fantasy? The Chronicles of Narnia,"(['Cs Lewis'], ['Q9204'])","('Narnia', 'Q483412')",['P800'],['notable work'],"([('question', 'Q132311')], [['P136']])","[""What is the name of _Q_' 7 book _C_? The Chronicles of _A_\n""]",[False]
466,Which horse racing jockey was sometimes referred to as the long fellow? Lester Piggott,"(['jockey'], ['Q846750'])","('Lester Piggott', 'Q377345')",['P106'],['occupation'],"([('question', 'Q187916')], [['P425']])",['Which _C_ _Q_ was sometimes referred to as the long fellow? _A_\n'],[True]
485,"Which 2004 ""puppet"" movie, made by the makers of South Park, satirises Americas politics and jingoism? Team America: World Police","(['South Park'], ['Q16538'])","('Team America', 'Q30')",['P495'],['country of origin'],"([('answer', 'Q828')], [['P138', 'P1889']])","['Which 2004 ""puppet"" movie, made by the makers of _Q_, satirises _C_ politics and jingoism? _A_: World Police\n']",[False]
485,"Which 2004 ""puppet"" movie, made by the makers of South Park, satirises Americas politics and jingoism? Team America: World Police","(['Americas'], ['Q828'])","('Team America', 'Q30')",['P1889'],['different from'],"([('Q16538', 'answer')], [['P495']])","['Which 2004 ""puppet"" movie, made by the makers of _C_, satirises _Q_ politics and jingoism? _A_: World Police\n']",[True]
487,"Which river originates in The Taurus Mountains, and flows through Syria and Iraq? Euphrates","(['Syria'], ['Q858'])","('Euphrates', 'Q34589')",['P17'],['country'],"([('question', 'Q796')], [['P47', 'P530']])","['Which river originates in The Taurus Mountains, and flows through _Q_ and _C_? _A_\n']",[True]
487,"Which river originates in The Taurus Mountains, and flows through Syria and Iraq? Euphrates","(['Iraq'], ['Q796'])","('Euphrates', 'Q34589')",['P17'],['country'],"([('question', 'Q858')], [['P47', 'P530']])","['Which river originates in The Taurus Mountains, and flows through _C_ and _Q_? _A_\n']",[True]
508,"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club? Charlton","(['London'], ['Q84'])","('Charlton', 'Q19462')",['P159'],['headquarters location'],"([('Q1247858', 'question'), ('answer', 'Q2736')], [['P840'], ['P641']])","['In _C_, Rodney Trotter shares his middle name with which _Q_ football club? _A_\n']",[True]
508,"In Only Fools And Horses, Rodney Trotter shares his middle name with which London football club? Charlton","(['football'], ['Q2736'])","('Charlton', 'Q19462')",['P641'],['sport'],"([('answer', 'Q84')], [['P159']])","['In Only Fools And Horses, Rodney Trotter shares his middle name with which London _Q_ club? _A_\n']",[True]
511,"What is the name of the enzyme usually added to milk to coagulate it, to make ""curds and whey""? Rennet","(['coagulate'], ['Q622563'])","('Rennet', 'Q326900')",['P186'],['made from material'],"([('question', 'Q326900'), ('question', 'Q8495')], [['P186'], ['P186']])","['What is the name of the _C_ usually added to milk to _Q_ it, to make ""curds and whey""? _A_\n']",[False]
512,Which cheese shares its name with a Guiness Premiership rugby team that play at Welford Road? Leicester,"(['Premiership'], ['Q5960'])","('Leicester', 'Q1071691')",['P118'],['league'],"([('Q1210262', 'answer')], [['P137', 'P466', 'P127']])",['Which cheese shares its name with a Guiness _Q_ rugby team that play at _C_? _A_\n'],[True]
512,Which cheese shares its name with a Guiness Premiership rugby team that play at Welford Road? Leicester,"(['Welford Road'], ['Q1210262'])","('Leicester', 'Q1071691')",['P127'],['owned by'],"([('answer', 'Q5960')], [['P118']])",['Which cheese shares its name with a Guiness _C_ rugby team that play at _Q_? _A_\n'],[False]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['Jack Lord'], ['Q704473'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q465582'), ('answer', 'Q1859922'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by _Q_, _C_, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['Cec Linder'], ['Q465582'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q1859922'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by Jack Lord, _Q_, _C_, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['Rik Van Nutter'], ['Q1859922'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q465582'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by Jack Lord, Cec Linder, _Q_, _C_, David Hedison, John Terry, David Hedison and Jeffrey Wright? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['Norman Burton'], ['Q4351837'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q465582'), ('answer', 'Q1859922'), ('answer', 'Q72262'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, _Q_, _C_, John Terry, _C_ and Jeffrey Wright? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['David Hedison'], ['Q72262'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q465582'), ('answer', 'Q1859922'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, _Q_, John Terry, _Q_ and Jeffrey Wright? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['David Hedison'], ['Q72262'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q465582'), ('answer', 'Q1859922'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q343059')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, _Q_, John Terry, _Q_ and _C_? _A_\n']",[True]
515,"Which character has been played by Jack Lord, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and Jeffrey Wright? Felix Leiter","(['Jeffrey Wright'], ['Q343059'])","('Felix Leiter', 'Q1779543')",['P175'],['performer'],"([('answer', 'Q704473'), ('answer', 'Q465582'), ('answer', 'Q1859922'), ('answer', 'Q4351837'), ('answer', 'Q72262'), ('answer', 'Q72262')], [['P175'], ['P175'], ['P175'], ['P175'], ['P175'], ['P175']])","['Which character has been played by _C_, Cec Linder, Rik Van Nutter, Norman Burton, David Hedison, John Terry, David Hedison and _Q_? _A_\n']",[True]
535,Which sea lies between Italy and the former Yugoslavia? Adriatic Sea,"(['Italy'], ['Q38'])","('Adriatic Sea', 'Q13924')",['P206'],['located in or next to body of water'],"([('question', 'Q36704')], [['P530']])",['Which sea lies between _Q_ and the former _C_? _A_\n'],[False]
558,In which sitcom did Penelope Wilton play the wife of Richard Briers? Ever Decreasing Circles,"(['Penelope Wilton'], ['Q544165'])","('Ever Decreasing Circles', 'Q5416856')",['P161'],['cast member'],"([('answer', 'Q2734945')], [['P161']])",['In which sitcom did _Q_ play the wife of _C_? _A_\n'],[True]
