Counter,Original QA,Created template,AQ-relation direction,First placeholder type,Found relation,Second placeholder type,Constraint relation,Example 1 expansion,Example 2 expansion
63,where do Baltimore ravens play? M&T Bank Stadium,where do _Q_ play? _A_,False,American football team,home venue,stadium,No constraint relation,where do James Madison Dukes football play? Bridgeforth Stadium and Zane Showker Field,where do Florida Atlantic Owls football play? FAU Stadium
65,who does Brandon Dubinsky play for? New York Rangers,who does _Q_ play for? _A_,False,human,member of sports team,ice hockey team,No constraint relation,who does Vladimir Shikhanov play for? HC Lada Togliatti,who does Vladimir Tarasov play for? HC Lada Togliatti
66,who all has dated Taylor Swift? Harry Styles,who all has dated _Q_? _A_,False,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
67,what is the dominant language in Israel? Hebrew Language,what is the dominant language in _Q_? _A_ Language,True,language,country,sovereign state,No constraint relation,what is the dominant language in Switzerland? German Language,what is the dominant language in France? French Language
69,who did rufus wainwright married? Jörn Weisbrodt,who did _Q_ married? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
74,who was the apostle paul considered to be? Paul of Tarsus,who was the apostle _Q_ considered to be? Paul of _A_,False,human biblical figure,place of birth,city,No constraint relation,who was the apostle Elizabeth considered to be? Paul of Hebron,who was the apostle Jeremiah considered to be? Paul of Anathoth
77,who do Derek Fisher play for? Los Angeles Lakers,who do _Q_ play for? _A_,False,human,member of sports team,basketball team,No constraint relation,who do Von Wafer play for? Portland Trail Blazers,who do Greg Smith play for? Portland Trail Blazers
81,where did the Houston Oilers football team go? Tennessee Titans,where did the Houston Oilers _Q_ team go? _A_,True,American football team,sport,type of sport,No constraint relation,where did the Houston Oilers American football team go? Las Vegas Raiders,where did the Houston Oilers American football team go? Marburg Mercenaries
82,where did Pauley Perrette go to college? Valdosta State University,where did _Q_ go to college? _A_,False,['human'],educated at,"['public educational institution of the United States', 'public university']",No constraint relation,Search space issue,Search space issue
84,who is the senator of The United States 2010? Jefferson Sessions,who is the senator of The _Q_ 2010? _A_ Sessions,True,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
85,what is the currency name of Brazil? Brazilian real,what is the _Q_ name of Brazil? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
89,where is Jay Cutler now? Chicago Bears,where is _Q_ now? _A_,False,human,member of sports team,American football team,No constraint relation,where is Rickey Jackson now? New Orleans Saints,where is Vonta Leach now? New Orleans Saints
90,what are the 5 biggest cities in the Usa? New York,what are the 5 biggest cities in the _Q_? _A_,True,"['largest city', 'city in the state of New York', 'big city', 'global city', 'city', 'million city', 'city of the United States', 'port settlement']",country,"['federal republic', 'democratic republic', 'country', 'superpower', 'constitutional republic', 'democratic republic', 'country', 'sovereign state', 'superpower', 'constitutional republic', 'democratic republic', 'country', 'federal republic', 'sovereign state', 'superpower', 'constitutional republic', 'federal republic', 'sovereign state', 'federal republic', 'democratic republic', 'democratic republic', 'country', 'country', 'superpower', 'constitutional republic', 'superpower', 'constitutional republic', 'sovereign state', 'sovereign state', 'federal republic', 'federal republic', 'democratic republic', 'country', 'democratic republic', 'country', 'superpower', 'constitutional republic', 'democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
91,where did Jeff Dunham go to school? Baylor University,where did _Q_ go to school? _A_,False,['human'],educated at,"['private university', 'сhurch college', 'private not-for-profit educational institution']",No constraint relation,Search space issue,Search space issue
92,"what college did kevjumba? University Of California, Davis",what college did _Q_? _A_,False,['human'],educated at,"['open-access publisher', 'land-grant university', 'public educational institution of the United States', 'university', 'census-designated place']",No constraint relation,Search space issue,Search space issue
93,who does David James play for 2011? Bristol City F.C.,who does _Q_ play for 2011? _A_,False,['human'],member of sports team,['association football club'],No constraint relation,Search space issue,Search space issue
98,when did kings last win stanley cup? 2012 Stanley Cup Finals,when did kings last win _Q_? _A_,True,Stanley Cup,instance of,award,No constraint relation,when did kings last win Stanley Cup? 1923 Stanley Cup Finals,when did kings last win Stanley Cup? 1925 Stanley Cup Finals
99,"what school did William Shakespeare attend? King Edward VI School, Stratford-upon-Avon",what school did _Q_ attend? _A_,False,human,educated at,secondary school,No constraint relation,what school did Josh Levi attend? Auckland Grammar School,what school did Benson Stanley attend? Auckland Grammar School
106,what are the main languages spoken in Spain? Spanish Language,what are the main languages spoken in _Q_? _A_ Language,False,sovereign state,language used,modern language,No constraint relation,what are the main languages spoken in Finland? Bulgarian Language,what are the main languages spoken in Finland? Croatian Language
107,what songs did mozart write? 1034 Mozartia,what songs did _Q_ write? _A_,True,asteroid,named after,sovereign state,No constraint relation,what songs did Heidelberg write? 325 Heidelberga,what songs did Angola write? 1712 Angola
111,what is the name of the pittsburgh Steelers head coach? Mike Tomlin,what is the name of the _Q_ head coach? _A_,False,American football team,head coach,human,No constraint relation,what is the name of the 1910 Fairmount Wheatshockers football team head coach? Roy K. Thomas,what is the name of the Clemson Tigers football head coach? Dabo Swinney
115,what other discoveries did Isaac Newton discover? Reflecting telescope,what other discoveries did _Q_ discover? _A_,True,equipment,creator,human,No constraint relation,what other discoveries did Isaac Newton discover? reflecting telescope,what other discoveries did Dragoş Petrescu discover? Étriers made from the wheel rim of a Soviet-made Sputnik semi-racing bicycle
117,where is whistler mountain located? British Columbia,where is _Q_ located? _A_,False,['mountain'],located in the administrative territorial entity,['province of Canada'],No constraint relation,Search space issue,Search space issue
119,who is julia roberts married to 2012? Daniel Moder,who is _Q_ married to 2012? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
121,who played mason capwell? Nancy Lee Grahn,who played _Q_? _A_,False,television series,cast member,human,No constraint relation,who played My Name Is Earl? Jasmine Jessica Anthony,who played My Name Is Earl? Geoffrey Lewis
122,what is James Madison most famous for? President of The United States,what is _Q_ most famous for? President of The _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
125,who plays captain Kirk in 2009? Chris Pine,who plays _Q_ in 2009? _A_,False,comics character,performer,human,No constraint relation,who plays Lois Lane in 2009? Kate Bosworth,who plays Riddler in 2009? Cory Michael Smith
126,where is The Kakadu National Park Located? Northern Territory,where is The _Q_ Located? _A_,False,national park of Australia,located in the administrative territorial entity,mainland territory of Australia,No constraint relation,where is The Mount Bundey Military Training Area Located? Northern Territory,where is The Mary River National Park Located? Northern Territory
130,who will David Beckham play for in 2013? Paris Saint-Germain F.C.,who will _Q_ play for in 2013? _A_,False,['human'],member of sports team,"['association football club', 'business']",No constraint relation,Search space issue,Search space issue
131,what language they speak in Taiwan? Standard Mandarin,what language they speak in _Q_? _A_,False,country,language used,modern language,No constraint relation,what language they speak in Hungary? Slovak,what language they speak in Finland? Chinese
134,where did Hernando cortez die? Castilleja de la Cuesta,where did _Q_ die? _A_,False,human,place of death,municipality of Spain,No constraint relation,where did José Antonio de la Loma Hernández die? Barcelona,where did Manuel de Pedrolo i Molina die? Barcelona
135,who was Liz Taylor married too? Richard Burton,who was _Q_ married too? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
145,who is married to Garry Trudeau? Jane Pauley,who is married to _Q_? _A_,False,['human'],spouse,['human'],No constraint relation,Search space issue,Search space issue
146,where does Norway get their oil? Barents Euro-Arctic Council,where does _Q_ get their oil? _A_,False,country,member of,intergovernmental organization,No constraint relation,where does Uruguay get their oil? United Nations,where does Republic of Ireland get their oil? United Nations
150,what invention did Henry Ford invent? Ford Motor Company,what invention did _Q_ invent? _A_,True,brand,named after,tutelary,No constraint relation,what invention did Nokia invent? Nokia,what invention did Ninkasi invent? Ninkasi
153,who voiced meg in the pilot? Mila Kunis,who voiced _Q_ in the pilot? _A_,False,fictional human,voice actor,human,No constraint relation,who voiced Ran Mouri in the pilot? Núria Trifol,who voiced Ran Mouri in the pilot? Lee Hyeon-jin
154,where did Bashar Al Assad study? University Of Damascus,where did _Q_ study? _A_,False,human,educated at,public university,No constraint relation,where did Wiktor Szmulewicz study? Warsaw University of Life Sciences,where did Bogusław Molski study? Warsaw University of Life Sciences
156,who is the voice of Stewie Griffin from family guy? Seth Macfarlane,who is the voice of _Q_ from family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who is the voice of Ran Mouri from family guy? Núria Trifol,who is the voice of Ash Ketchum from family guy? Balázs Szvetlov
158,who does Lea Michele dating in real life? Cory Monteith,who does _Q_ dating in real life? _A_,True,['human'],unmarried partner,['human'],No constraint relation,Search space issue,Search space issue
160,who does Billy Beane work for now? Oakland Athletics,who does _Q_ work for now? _A_,False,human,member of sports team,baseball team,No constraint relation,who does Akinari Kidachi work for now? Hanshin Tigers,who does Hideki Hara work for now? Hanshin Tigers
161,who were Anakin Skywalker's parents? Shmi Skywalker,who were _Q_'s parents? _A_,False,fictional human,family,fictional family,No constraint relation,who were Gino Terwilliger's parents? Terwilliger family,who were Shaggy Rogers's parents? Rogers family
165,who was emperor diocletian? Roman emperor,who was emperor _Q_? _A_,False,['human'],position held,"['position', 'noble title']",No constraint relation,Search space issue,Search space issue
169,what company did Henry Ford work for? Ford Motor Company,what company did _Q_ work for? _A_,True,brand,founded by,human,No constraint relation,what company did Lawrence M. Gelb work for? Clairol,what company did Jean Mantelet work for? Moulinex
175,what is the government of Spain today? Constitutional monarchy,what is the government of _Q_ today? _A_,False,sovereign state,basic form of government,form of government,No constraint relation,what is the government of Peru today? republic,what is the government of North Korea today? single-party state
176,where did Terrell Owens get traded to? Philadelphia Eagles,where did _Q_ get traded to? _A_,False,human,member of sports team,American football team,No constraint relation,where did Biren Ealy get traded to? New Orleans Saints,where did Brad Muster get traded to? New Orleans Saints
179,where did Jack Johnson go to high school? Kahuku High & Intermediate School,where did _Q_ go to high school? _A_,False,human,educated at,high school,No constraint relation,where did Francis Burr go to high school? Phillips Academy,where did Franz J. Ingelfinger go to high school? Phillips Academy
185,what is the political system in South Africa? Parliamentary republic,what is the political system in _Q_? _A_,False,country,basic form of government,form of government,No constraint relation,what is the political system in Estonia? republic,what is the political system in Ivory Coast? republic
186,what is the currency in Croatia 2012? Croatian kuna,what is the _Q_ in Croatia 2012? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
187,where did Joe Montana go to high school? Ringgold High School,where did _Q_ go to high school? _A_,False,human,educated at,high school,No constraint relation,where did Bill Cunliffe go to high school? Phillips Academy,where did George R. Carter go to high school? Phillips Academy
190,what is the time zone in Oklahoma city? Central Time Zone,what is the _Q_ in Oklahoma city? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
193,who was the first Russian president? Dmitry Medvedev,who was the first _Q_ president? _A_,True,['human'],"languages spoken, written or signed","['language', 'natural language', 'modern language']",No constraint relation,Search space issue,Search space issue
195,where was John Lennon standing when he was shot? New York City,where was _Q_ standing when he was shot? _A_,False,['human'],place of death,"['million city', 'city of the United States', 'port settlement', 'city', 'largest city', 'city in the state of New York', 'big city', 'global city']",No constraint relation,Search space issue,Search space issue
199,where to ski in andorra reviews? Ordino-Arcalis Ski Area,where to ski in _Q_ reviews? _A_ Ski Area,True,ski area,country,sovereign state,No constraint relation,where to ski in Austria reviews? Almenland Ski Area,where to ski in Italy reviews? Dolomiti Superski Ski Area
201,what type of government did England have during the glorious revolution? Constitutional monarchy,what type of government did _Q_ have during the glorious revolution? _A_,False,constituent country of the United Kingdom,basic form of government,form of government,No constraint relation,what type of government did Northern Ireland have during the glorious revolution? constitutional monarchy,what type of government did England have during the glorious revolution? parliamentary monarchy
202,who played dumbledore in the first movie? Richard Harris,who played _Q_ in the first movie? _A_,False,theatrical character,performer,human,No constraint relation,who played Albus Severus Potter in the first movie? Arthur Bowen,who played Ophelia in the first movie? Daisy Ridley
204,what is the center of London called? Trafalgar Square,what is the center of _Q_ called? _A_,True,tourist attraction,operator,strategic regional authority,No constraint relation,what is the center of Greater London Authority called? Trafalgar Square,what is the center of Greater London Authority called? Trafalgar Square
210,what currency do they accept in Kenya? Kenyan shilling,what _Q_ do they accept in Kenya? _A_,True,No type,instance of,No type,No constraint relation,Search space issue,Search space issue
215,where is the best place to vacation in The Dominican Republic? Santo Domingo,where is the best place to vacation in The _Q_? _A_,False,archipelagic state,named after,capital,No constraint relation,where is the best place to vacation in The Dominican Republic? Santo Domingo,where is the best place to vacation in The Dominican Republic? Lima
216,what made ancient rome fall? Capture of Rome,what made _Q_ fall? Capture of _A_,False,historical country,capital,ancient city,No constraint relation,what made Sasanian Empire fall? Capture of Istakhr,what made Sasanian Empire fall? Capture of Istakhr
219,when did the aurora colorado shooting take place? 2012 Aurora shooting,when did the aurora _Q_ shooting take place? _A_,True,mass murder,located in the administrative territorial entity,U.S. state,No constraint relation,when did the aurora Alaska shooting take place? Awa'uq Massacre,when did the aurora Texas shooting take place? Luby's massacre
224,what war was George Washington associated with? American Revolutionary War,what war was _Q_ associated with? _A_,False,human,conflict,war of national liberation,No constraint relation,what war was Esek Hopkins associated with? American Revolutionary War,what war was François Joseph Bouvet associated with? American Revolutionary War
225,who does Kris Humphries play for in the Nba? Brooklyn Nets,who does _Q_ play for in the Nba? _A_,False,human,member of sports team,basketball team,No constraint relation,who does Henri Rey play for in the Nba? ASVEL Basket,who does Arsène Ade-Mensah play for in the Nba? ASVEL Basket
228,what nationality was Andy Williams? United States Of America,what nationality was _Q_? _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
234,who plays Nathan Scott? James Lafferty,who plays _Q_? _A_,False,fictional human,performer,human,No constraint relation,who plays Samus Aran? Ai Kobayashi,who plays Sherlock Holmes? Peter Cushing
238,who is the prime minister of Ethiopia now? Meles Zenawi,who is the prime minister of _Q_ now? _A_,True,['human'],country of citizenship,"['landlocked country', 'country', 'sovereign state']",No constraint relation,Search space issue,Search space issue
240,who did johnny bench play for? Cincinnati Reds,who did _Q_ play for? _A_,False,human,member of sports team,baseball team,No constraint relation,who did Akinari Kidachi play for? Hanshin Tigers,who did Hideki Hara play for? Hanshin Tigers
242,where do Houston aeros play? Toyota Center,where do _Q_ aeros play? _A_,True,arena,located in the administrative territorial entity,city of the United States,No constraint relation,where do Split aeros play? Arena Gripe,where do Seattle aeros play? Climate Pledge Arena
245,what book did Niccolo Machiavelli write? The Prince,what book did _Q_ write? _A_,False,human,notable work,literary work,No constraint relation,what book did Homer write? Iliad,what book did Muriel Spark write? The Ballad of Peckham Rye
246,what college did drew Bledsoe? Washington State University,what college did _Q_? _A_,False,['human'],educated at,"['land-grant university', 'public educational institution of the United States', 'public university']",No constraint relation,Search space issue,Search space issue
248,who does Michael Vick play for? Philadelphia Eagles,who does _Q_ play for? _A_,False,human,member of sports team,American football team,No constraint relation,who does Biren Ealy play for? New Orleans Saints,who does Brad Muster play for? New Orleans Saints
249,what is Anderson Silva trained in? Mixed Martial Artist,what is _Q_ trained in? _A_,False,['human'],sport,['type of sport'],No constraint relation,Search space issue,Search space issue
254,who played Lois Lane in superman 1? Margot Kidder,who played _Q_ in superman 1? _A_,False,comics character,performer,human,No constraint relation,who played Superman in superman 1? Channing Tatum,who played Superman in superman 1? Tom Welling
257,where did France surrender Ww2? Mediterranean Sea,where did _Q_ surrender Ww2? _A_,False,country,located in or next to body of water,mediterranean sea,No constraint relation,where did Montenegro surrender Ww2? Mediterranean Sea,where did Israel surrender Ww2? Mediterranean Sea
258,when was the 2012 Calgary stampede? 1988 Winter Olympics,when was the 2012 _Q_ stampede? _A_,True,Winter Olympic Games,location,big city,No constraint relation,when was the 2012 Innsbruck stampede? 1976 Winter Olympics,when was the 2012 Innsbruck stampede? 1976 Winter Olympics
260,what kind of money do the Philippines use? Philippine peso,what kind of money do the _Q_ use? _A_,False,sovereign state,currency,currency,No constraint relation,what kind of money do the Samoa use? Samoan tālā,what kind of money do the Solomon Islands use? Solomon Islands dollar
267,what style of art does Andy Warhol do? Pop art,what style of art does _Q_ do? _A_,False,human,movement,architectural style,No constraint relation,what style of art does Federico Zuccari do? Renaissance,what style of art does Tullio Lombardo do? Renaissance
268,what county is Charlotte North Carolina? Mecklenburg County,what county is Charlotte _Q_? _A_,False,U.S. state,contains administrative territorial entity,county of North Carolina,No constraint relation,what county is Charlotte North Carolina? Chatham County,what county is Charlotte North Carolina? Madison County
273,who played Luke Skywalker in star wars episode 4? Mark Hamill,who played _Q_ in star wars episode 4? _A_,False,fictional human,performer,human,No constraint relation,who played Poison in star wars episode 4? Atsuko Tanaka,who played Leonard Hofstadter in star wars episode 4? Johnny Galecki
275,what was the first newspaper called in Australia? Sydney Gazette,what was the first newspaper called in _Q_? _A_,True,newspaper,country,sovereign state,No constraint relation,what was the first newspaper called in France? Le Monde diplomatique,what was the first newspaper called in Hungary? Q850945
280,who sang for pink floyd? David Gilmour,who sang for _Q_? _A_,False,rock group,has part or parts,human,No constraint relation,who sang for Nirvana? Dave Grohl,who sang for Ride? Andy Bell
281,who played John Connor friend in terminator 2? Edward Furlong,who played _Q_ friend in terminator 2? _A_,False,fictional human,performer,human,No constraint relation,who played Poison friend in terminator 2? Atsuko Tanaka,who played Leonard Hofstadter friend in terminator 2? Johnny Galecki
288,what do people in the czech republic speak? Czech Language,what do people in the _Q_ speak? _A_,False,country,language used,language,No constraint relation,what do people in the Central African Republic speak? French,what do people in the Algeria speak? French
295,what college did lil wayne graduated from? University Of Phoenix,what college did _Q_ graduated from? _A_,False,['human'],educated at,"['university', 'private for-profit educational institution']",No constraint relation,Search space issue,Search space issue
298,who is princess leia? Star Wars,who is _Q_? _A_,False,fictional human,first appearance,film,No constraint relation,who is Mon Mothma? Star Wars: Episode VI – Return of the Jedi,who is Phil Coulson? Iron Man
301,what language do they denmark? Danish Language,what language do they _Q_? _A_,False,country,language used,language,No constraint relation,what language do they Finland? Amharic,what language do they People's Republic of China? Zhuang
302,what was eli Whitney Nationality? United States Of America,what was _Q_ Nationality? _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
303,where was Dwight D. Eisenhower from? United States Of America,where was Dwight D. _Q_ from? _A_,False,['human'],country of citizenship,"['democratic republic', 'country', 'superpower', 'constitutional republic', 'sovereign state', 'federal republic']",No constraint relation,Search space issue,Search space issue
304,what team is Chris Paul on? Los Angeles Clippers,what team is _Q_ on? _A_,False,human,member of sports team,basketball team,No constraint relation,what team is Miro Bilan on? ASVEL Basket,what team is Joe Stephens on? ASVEL Basket
308,who is Kobe Bryant dad? Joe Bryant,who is _Q_ Bryant dad? _A_,False,['human'],father,['human'],No constraint relation,Search space issue,Search space issue
309,what is Wentworth Miller in? Prison Break,what is _Q_ in? _A_,True,television series,cast member,human,No constraint relation,what is Jane Lynch in? CSI: Crime Scene Investigation,what is Kate Mara in? CSI: Crime Scene Investigation
310,who killed harvey milk? Dan White,who killed _Q_? _A_,False,['human'],killed by,['human'],No constraint relation,Search space issue,Search space issue
312,what main language do they speak in Brazil? Portuguese Language,what main language do they speak in _Q_? _A_ Language,False,country,language used,language,No constraint relation,what main language do they speak in Central African Republic? French Language,what main language do they speak in Algeria? French Language
316,what is the jurisdiction of the us Supreme Court? United States Of America,what is the jurisdiction of the us _Q_? _A_,False,supreme court,applies to jurisdiction,sovereign state,No constraint relation,what is the jurisdiction of the us Federal Supreme Court of Switzerland? Switzerland,what is the jurisdiction of the us Supreme Administrative Court of Sweden? Sweden
318,what position does ray allen? Shooting guard,what position does _Q_? _A_,False,human,position played on team / speciality,basketball position,No constraint relation,what position does Aaron Brooks? point guard,what position does Gary Payton? point guard
319,where did chancellorsville battle take place? Spotsylvania County,where did _Q_ battle take place? _A_,False,battle,location,county of Virginia,No constraint relation,where did Battle of Chaffin's Farm battle take place? Henrico County,where did Battle of Darbytown Road battle take place? Henrico County
320,what year was the Cubs last world series? 1908 World Series,what year was the _Q_ last world series? _A_,True,sports season,winner,baseball team,No constraint relation,what year was the San Francisco Giants last world series? 2010 Major League Baseball season,what year was the San Francisco Giants last world series? 2010 World Series
322,who was king or queen after Victoria? Edward VII,who was king or queen after _Q_? _A_,False,['human'],child,['human'],No constraint relation,Search space issue,Search space issue
325,where is headquarters of Verizon? New York,where is headquarters of _Q_? _A_,False,public company,headquarters location,port settlement,No constraint relation,where is headquarters of Alleghany Corporation? New York City,where is headquarters of Alleghany Corporation? New York City
328,where did Boston terriers come from? United States Of America,where did _Q_ terriers come from? _A_,False,county seat,country,country,No constraint relation,where did Rock Island terriers come from? United States of America,where did Leola terriers come from? United States of America
330,who played juni in spy kids 4? Daryl Sabara,who played juni in _Q_? _A_,False,"['film', '3D film']",cast member,"['human', 'human']",No constraint relation,Search space issue,Search space issue
332,where did John Muir die? Los Angeles,where did _Q_ die? _A_,False,['human'],place of death,"['second largest city', 'city of the United States', 'city', 'charter city', 'big city', 'county seat']",No constraint relation,Search space issue,Search space issue
349,what team does Kris Humphries play for in 2011? Brooklyn Nets,what team does _Q_ play for in 2011? _A_,False,human,member of sports team,basketball team,No constraint relation,what team does Henri Rey play for in 2011? ASVEL Basket,what team does Arsène Ade-Mensah play for in 2011? ASVEL Basket
352,who plays Lois Griffin in family guy? Alex Borstein,who plays _Q_ in family guy? _A_,False,fictional human,voice actor,human,No constraint relation,who plays Monkey D. Luffy in family guy? Mayumi Tanaka,who plays Sakaki in family guy? Christine Auten
358,where did Robbie Hummel go to high school? Valparaiso High School,where did _Q_ go to high school? _A_,False,human,educated at,high school,No constraint relation,where did Francis Burr go to high school? Phillips Academy,where did Franz J. Ingelfinger go to high school? Phillips Academy
364,what system of government is used in South Korea? Constitutional republic,what system of government is used in _Q_? _A_,False,country,basic form of government,form of government,No constraint relation,what system of government is used in Cyprus? republic,what system of government is used in Estonia? republic
