counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
23,What is the netflix genre of Mahler: symphony 9: Claudio Abbado?? classical music,"(['Mahler'], ['Q7304'])","('classical', 'Q9730')",['P136'],['genre'],"([('Q151608', 'answer')], [['P136']])",['What is the netflix genre of _Q_: symphony 9: _C_?? _A_ music'],[False]
23,What is the netflix genre of Mahler: symphony 9: Claudio Abbado?? classical music,"(['Claudio Abbado'], ['Q151608'])","('classical', 'Q9730')",['P136'],['genre'],"([('Q7304', 'answer')], [['P136']])",['What is the netflix genre of _C_: symphony 9: _Q_?? _A_ music'],[False]
24,"what time zone includes Hudson Falls, New York? Eastern Time Zone","(['time zone'], ['Q12143'])","('Eastern Time Zone', 'Q941023')",['P31'],['instance of'],"([('Q60', 'answer')], [['P421']])","['what _Q_ includes Hudson Falls, _C_? _A_']",[True]
24,"what time zone includes Hudson Falls, New York? Eastern Time Zone","(['New York'], ['Q60'])","('Eastern Time Zone', 'Q941023')",['P421'],['located in time zone'],"([('answer', 'Q12143'), ('question', 'Q3140')], [['P31'], ['P206']])","['what _C_ includes Hudson Falls, _Q_? _A_']",[False]
25,whos someone who plays defender on a football team? Charles Rutter,"(['defender'], ['Q2736'])","('Charles Rutter', 'Q5082235')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])",['whos someone who plays _Q_ on a _C_ team? _A_'],[True]
25,whos someone who plays defender on a football team? Charles Rutter,"(['football'], ['Q2736'])","('Charles Rutter', 'Q5082235')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])",['whos someone who plays _C_ on a _Q_ team? _A_'],[True]
26,what films on netflix are in the Japanese language?? Gun Crazy: A Woman from Nowhere,"(['netflix'], ['Q907311'])","('Gun Crazy', 'Q1189572')",['P750'],['distributed by'],"([('answer', 'Q5287')], [['P364']])",['what films on _Q_ are in the _C_?? _A_: A Woman from Nowhere'],[True]
26,what films on netflix are in the Japanese language?? Gun Crazy: A Woman from Nowhere,"(['Japanese language'], ['Q5287'])","('Gun Crazy', 'Q1189572')",['P364'],['original language of film or TV show'],"([('answer', 'Q907311')], [['P750']])",['what films on _C_ are in the _Q_?? _A_: A Woman from Nowhere'],[True]
27,Who played pitcher for the oakland a's? Jesse Chavez,"(['pitcher'], ['Q1048902'])","('Jesse Chavez', 'Q3177603')",['P413'],['position played on team / speciality'],"([('answer', 'Q504339')], [['P54']])","[""Who played _Q_ for the _C_ a's? _A_""]",[True]
27,Who played pitcher for the oakland a's? Jesse Chavez,"(['oakland'], ['Q504339'])","('Jesse Chavez', 'Q3177603')",['P54'],['member of sports team'],"([('answer', 'Q1048902')], [['P413']])","[""Who played _C_ for the _Q_ a's? _A_""]",[True]
28,where in South Asia is galle district located in?? Sri Lanka,"(['galle district'], ['Q647649'])","('Sri Lanka', 'Q854')",['P17'],['country'],"([('Q60140', 'answer'), ('Q771405', 'answer')], [['P527'], ['P527']])",['where in _C_ is _Q_ located in?? _A_'],[False]
29,who plays defender on a Romanian football team?? Adrian Ilie,"(['defender'], ['Q2736'])","('Adrian Ilie', 'Q359484')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])",['who plays _Q_ on a Romanian _C_ team?? _A_'],[True]
29,who plays defender on a Romanian football team?? Adrian Ilie,"(['football'], ['Q2736'])","('Adrian Ilie', 'Q359484')",['P641'],['sport'],"([('answer', 'Q2736')], [['P641']])",['who plays _C_ on a Romanian _Q_ team?? _A_'],[True]
