counter,question-answer,question slots,answer,direct link,direct link str,supporting slots,templates,AQ direction
133,what County is Novato California in? Marin County,"(['California'], ['Q99'])","('Marin County', 'Q108117')",['P150'],['contains administrative territorial entity'],"([('Q851004', 'answer')], [['P131']])",['what County is _C_ _Q_ in? _A_\n'],[False]
151,what time zone is New York under? North American Eastern Time Zone,"(['time zone'], ['Q12143'])","('North American Eastern Time', 'Q941023')",['P31'],['instance of'],"([('Q60', 'answer')], [['P421']])",['what _Q_ is _C_ under? _A_ Zone\n'],[True]
151,what time zone is New York under? North American Eastern Time Zone,"(['New York'], ['Q60'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('answer', 'Q12143')], [['P31']])",['what _C_ is _Q_ under? _A_ Zone\n'],[False]
155,who plays Lois Lane in superman returns? Kate Bosworth,"(['Lois Lane'], ['Q845922'])","('Kate Bosworth', 'Q236822')",['P175'],['performer'],"([('Q328695', 'answer')], [['P161']])",['who plays _Q_ in _C_? _A_\n'],[False]
155,who plays Lois Lane in superman returns? Kate Bosworth,"(['superman returns'], ['Q328695'])","('Kate Bosworth', 'Q236822')",['P161'],['cast member'],"([('Q845922', 'answer')], [['P175']])",['who plays _C_ in _Q_? _A_\n'],[False]
181,what military school did Poe attend? United States Military Academy,"(['military school'], ['Q917182'])","('United States Military Academy', 'Q9219')",['P31'],['instance of'],"([('Q16867', 'answer')], [['P69']])",['what _Q_ did _C_ attend? _A_\n'],[True]
181,what military school did Poe attend? United States Military Academy,"(['Poe'], ['Q16867'])","('United States Military Academy', 'Q9219')",['P69'],['educated at'],"([('answer', 'Q917182')], [['P31']])",['what _C_ did _Q_ attend? _A_\n'],[False]
182,when was the last dallas cowboys super bowl win? Super Bowl XXX,"(['dallas'], ['Q204862'])","('Super Bowl XXX', 'Q1065229')",['P1346'],['winner'],"([('answer', 'Q32096')], [['P31']])",['when was the last _Q_ cowboys _C_ win? _A_\n'],[True]
182,when was the last dallas cowboys super bowl win? Super Bowl XXX,"(['super bowl'], ['Q32096'])","('Super Bowl XXX', 'Q1065229')",['P31'],['instance of'],"([('answer', 'Q204862')], [['P1346', 'P1923']])",['when was the last _C_ cowboys _Q_ win? _A_\n'],[True]
197,who voiced Darth Vader in revenge of the sith? Hayden Christensen,"(['Darth Vader'], ['Q12206942'])","('Hayden Christensen', 'Q192812')",['P175'],['performer'],"([('question', 'Q51771')], [['P463']])",['who voiced _Q_ in revenge of the _C_? _A_\n'],[False]
206,who is the Arizona cardinals football coach? Bruce Arians,"(['football'], ['Q41323'])","('Bruce Arians', 'Q4046340')",['P641'],['sport'],"([('Q224164', 'question')], [['P641']])",['who is the _C_ _Q_ coach? _A_\n'],[True]
212,what currency is used in Switzerland 2012? Swiss franc,"(['currency'], ['Q8142'])","('Swiss franc', 'Q25344')",['P31'],['instance of'],"([('Q39', 'answer')], [['P38']])",['what _Q_ is used in _C_ 2012? _A_\n'],[True]
212,what currency is used in Switzerland 2012? Swiss franc,"(['Switzerland'], ['Q39'])","('Swiss franc', 'Q25344')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ is used in _Q_ 2012? _A_\n'],[False]
233,"who did Aaron Rodgers play college football 4? University Of California, Berkeley","(['Aaron Rodgers'], ['Q302581'])","('University Of California, Berkeley', 'Q168756')",['P69'],['educated at'],"([('question', 'Q41323')], [['P2416', 'P641']])",['who did _Q_ play college _C_ 4? _A_\n'],[False]
264,what type of currency should i take to Mexico? Mexican peso,"(['currency'], ['Q8142'])","('Mexican peso', 'Q4730')",['P31'],['instance of'],"([('Q96', 'answer')], [['P38']])",['what type of _Q_ should i take to _C_? _A_\n'],[True]
264,what type of currency should i take to Mexico? Mexican peso,"(['Mexico'], ['Q96'])","('Mexican peso', 'Q4730')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what type of _C_ should i take to _Q_? _A_\n'],[False]
285,when was the last time the Dallas cowboys went to the super bowl? Super Bowl XXX,"(['Dallas cowboys'], ['Q204862'])","('Super Bowl XXX', 'Q1065229')",['P1923'],['participating team'],"([('answer', 'Q32096')], [['P31']])",['when was the last time the _Q_ went to the _C_? _A_\n'],[True]
285,when was the last time the Dallas cowboys went to the super bowl? Super Bowl XXX,"(['super bowl'], ['Q32096'])","('Super Bowl XXX', 'Q1065229')",['P31'],['instance of'],"([('answer', 'Q204862')], [['P1346', 'P1923']])",['when was the last time the _C_ went to the _Q_? _A_\n'],[True]
343,what is calabria Italy? Italian region,"(['calabria'], ['Q1458'])","('Italian', 'Q38')",['P131'],['located in the administrative territorial entity'],"([('question', 'Q38')], [['P17', 'P131']])",['what is _Q_ _C_? _A_ region\n'],[False]
343,what is calabria Italy? Italian region,"(['Italy'], ['Q38'])","('Italian', 'Q38')",['P17'],['country'],"([('question', 'Q1458'), ('Q18460464', 'question'), ('Q3687394', 'question')], [['P150'], ['P17'], ['P17']])",['what is _C_ _Q_? _A_ region\n'],[False]
403,what timezone is Toronto Canada? North American Eastern Time Zone,"(['Toronto'], ['Q172'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('question', 'Q16')], [['P17']])",['what timezone is _Q_ _C_? _A_ Zone\n'],[False]
403,what timezone is Toronto Canada? North American Eastern Time Zone,"(['Canada'], ['Q16'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('Q172', 'question')], [['P17']])",['what timezone is _C_ _Q_? _A_ Zone\n'],[False]
433,who won 2012 presidential election in France? Nicolas Sarkozy,"(['2012 presidential election'], ['Q487666'])","('Nicolas Sarkozy', 'Q329')",['P726'],['candidate'],"([('question', 'Q142')], [['P1001', 'P17']])",['who won _Q_ in _C_? _A_\n'],[False]
433,who won 2012 presidential election in France? Nicolas Sarkozy,"(['France'], ['Q142'])","('Nicolas Sarkozy', 'Q329')",['P27'],['country of citizenship'],"([('Q487666', 'question')], [['P1001', 'P17']])",['who won _C_ in _Q_? _A_\n'],[True]
437,what currency does Thailand accept? Thai baht,"(['currency'], ['Q8142'])","('Thai baht', 'Q177882')",['P31'],['instance of'],"([('Q869', 'answer')], [['P38']])",['what _Q_ does _C_ accept? _A_\n'],[True]
437,what currency does Thailand accept? Thai baht,"(['Thailand'], ['Q869'])","('Thai baht', 'Q177882')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ does _Q_ accept? _A_\n'],[False]
459,what state was Theodore Roosevelt from? New York,"(['Theodore'], ['Q33866'])","('New York', 'Q60')",['P551'],['residence'],"([('Q33866', 'answer')], [['P551']])",['what state was _Q_ _C_ from? _A_\n'],[False]
459,what state was Theodore Roosevelt from? New York,"(['Roosevelt'], ['Q33866'])","('New York', 'Q60')",['P551'],['residence'],"([('Q33866', 'answer')], [['P551']])",['what state was _C_ _Q_ from? _A_\n'],[False]
488,what is currency in Dominican Republic? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what is _Q_ in _C_? _A_\n'],[True]
488,what is currency in Dominican Republic? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what is _C_ in _Q_? _A_\n'],[False]
489,where are the great pyramid of giza located? Cairo Metro,"(['giza'], ['Q81788'])","('Cairo Metro', 'Q685381')",['P131'],['located in the administrative territorial entity'],"([('question', 'Q13217298')], [['P1889']])",['where are the great _C_ of _Q_ located? _A_\n'],[True]
522,what time zone is it in London england? Greenwich Mean Time,"(['time zone'], ['Q12143'])","('Greenwich Mean Time', 'Q30192')",['P31'],['instance of'],"([('Q23306', 'answer'), ('Q84', 'answer')], [['P421'], ['P421']])",['what _Q_ is it in _C_ england? _A_\n'],[True]
522,what time zone is it in London england? Greenwich Mean Time,"(['London'], ['Q23306'])","('Greenwich Mean Time', 'Q30192')",['P421'],['located in time zone'],"([('answer', 'Q12143')], [['P31']])",['what time zone is it in _Q_ england? _A_\n'],[False]
538,what is the time zone in California called? Pacific Time Zone,"(['time zone'], ['Q12143'])","('Pacific Time Zone', 'Q847142')",['P31'],['instance of'],"([('Q99', 'answer')], [['P421']])",['what is the _Q_ in _C_ called? _A_\n'],[True]
538,what is the time zone in California called? Pacific Time Zone,"(['California'], ['Q99'])","('Pacific Time Zone', 'Q847142')",['P421'],['located in time zone'],"([('answer', 'Q12143')], [['P31']])",['what is the _C_ in _Q_ called? _A_\n'],[False]
548,what is the money currency in Switzerland? Swiss franc,"(['currency'], ['Q8142'])","('Swiss franc', 'Q25344')",['P31'],['instance of'],"([('Q39', 'answer')], [['P38']])",['what is the money _Q_ in _C_? _A_\n'],[True]
548,what is the money currency in Switzerland? Swiss franc,"(['Switzerland'], ['Q39'])","('Swiss franc', 'Q25344')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what is the money _C_ in _Q_? _A_\n'],[False]
600,what city was Robert Kennedy killed in? Los Angeles,"(['city'], ['Q515'])","('Los Angeles', 'Q65')",['P31'],['instance of'],"([('Q25310', 'answer')], [['P20']])",['what _Q_ was _C_ killed in? _A_\n'],[True]
600,what city was Robert Kennedy killed in? Los Angeles,"(['Robert Kennedy'], ['Q25310'])","('Los Angeles', 'Q65')",['P20'],['place of death'],"([('answer', 'Q515')], [['P31']])",['what _C_ was _Q_ killed in? _A_\n'],[False]
602,what kind of currency to bring to Mexico? Mexican peso,"(['currency'], ['Q8142'])","('Mexican peso', 'Q4730')",['P31'],['instance of'],"([('Q96', 'answer')], [['P38']])",['what kind of _Q_ to bring to _C_? _A_\n'],[True]
602,what kind of currency to bring to Mexico? Mexican peso,"(['Mexico'], ['Q96'])","('Mexican peso', 'Q4730')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what kind of _C_ to bring to _Q_? _A_\n'],[False]
614,what currency does Senegal use? West African CFA franc,"(['currency'], ['Q8142'])","('West African CFA franc', 'Q861690')",['P31'],['instance of'],"([('Q1041', 'answer')], [['P38']])",['what _Q_ does _C_ use? _A_\n'],[True]
614,what currency does Senegal use? West African CFA franc,"(['Senegal'], ['Q1041'])","('West African CFA franc', 'Q861690')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ does _Q_ use? _A_\n'],[False]
632,where does the Philadelphia union soccer team play? PPL Park,"(['Philadelphia union'], ['Q689874'])","('PPL Park', 'Q1637843')",['P115'],['home venue'],"([('question', 'Q2736')], [['P641']])",['where does the _Q_ _C_ team play? _A_\n'],[False]
632,where does the Philadelphia union soccer team play? PPL Park,"(['soccer'], ['Q2736'])","('PPL Park', 'Q1637843')",['P641'],['sport'],"([('Q689874', 'question')], [['P641']])",['where does the _C_ _Q_ team play? _A_\n'],[True]
649,who plays young Lex Luthor in Smallville? Michael Rosenbaum,"(['Lex Luthor'], ['Q694790'])","('Michael Rosenbaum', 'Q311613')",['P175'],['performer'],"([('Q180228', 'answer')], [['P161']])",['who plays young _Q_ in _C_? _A_\n'],[False]
649,who plays young Lex Luthor in Smallville? Michael Rosenbaum,"(['Smallville'], ['Q180228'])","('Michael Rosenbaum', 'Q311613')",['P161'],['cast member'],"([('Q694790', 'answer')], [['P175']])",['who plays young _C_ in _Q_? _A_\n'],[False]
673,what currency does Thailand use? Thai baht,"(['currency'], ['Q8142'])","('Thai baht', 'Q177882')",['P31'],['instance of'],"([('Q869', 'answer')], [['P38']])",['what _Q_ does _C_ use? _A_\n'],[True]
673,what currency does Thailand use? Thai baht,"(['Thailand'], ['Q869'])","('Thai baht', 'Q177882')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ does _Q_ use? _A_\n'],[False]
683,who plays Mary Jane in spiderman 3? Kirsten Dunst,"(['Mary Jane'], ['Q27810'])","('Kirsten Dunst', 'Q76478')",['P175'],['performer'],"([('question', 'Q182212')], [['P1441']])",['who plays _Q_ in _C_? _A_\n'],[False]
683,who plays Mary Jane in spiderman 3? Kirsten Dunst,"(['spiderman 3'], ['Q182212'])","('Kirsten Dunst', 'Q76478')",['P161'],['cast member'],"([('Q27810', 'question')], [['P1441']])",['who plays _C_ in _Q_? _A_\n'],[False]
687,what did Theodore Roosevelt do that brought him to national prominence? President of The United States,"(['Theodore'], ['Q33866'])","('United States', 'Q30')",['P27'],['country of citizenship'],"([('Q33866', 'answer')], [['P27', 'P1532']])",['what did _Q_ _C_ do that brought him to national prominence? President of The _A_\n'],[False]
687,what did Theodore Roosevelt do that brought him to national prominence? President of The United States,"(['Roosevelt'], ['Q33866'])","('United States', 'Q30')",['P27'],['country of citizenship'],"([('Q33866', 'answer')], [['P27', 'P1532']])",['what did _C_ _Q_ do that brought him to national prominence? President of The _A_\n'],[False]
690,what political party was Henry Clay? Whig Party,"(['political party'], ['Q7278'])","('Whig Party', 'Q42183')",['P31'],['instance of'],"([('Q319630', 'answer')], [['P102']])",['what _Q_ was _C_? _A_\n'],[True]
690,what political party was Henry Clay? Whig Party,"(['Henry Clay'], ['Q319630'])","('Whig Party', 'Q42183')",['P102'],['member of political party'],"([('answer', 'Q7278')], [['P31']])",['what _C_ was _Q_? _A_\n'],[False]
723,what currency should you take to Thailand? Thai baht,"(['currency'], ['Q8142'])","('Thai baht', 'Q177882')",['P31'],['instance of'],"([('Q869', 'answer')], [['P38']])",['what _Q_ should you take to _C_? _A_\n'],[True]
723,what currency should you take to Thailand? Thai baht,"(['Thailand'], ['Q869'])","('Thai baht', 'Q177882')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ should you take to _Q_? _A_\n'],[False]
812,what currency does Hungary have? Hungarian forint,"(['currency'], ['Q8142'])","('Hungarian forint', 'Q47190')",['P31'],['instance of'],"([('Q28', 'answer')], [['P38']])",['what _Q_ does _C_ have? _A_\n'],[True]
812,what currency does Hungary have? Hungarian forint,"(['Hungary'], ['Q28'])","('Hungarian forint', 'Q47190')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ does _Q_ have? _A_\n'],[False]
819,what is the currency in The Dominican Republic 2010? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what is the _Q_ in The _C_ 2010? _A_\n'],[True]
819,what is the currency in The Dominican Republic 2010? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what is the _C_ in The _Q_ 2010? _A_\n'],[False]
848,what college did Michael Jordan play basketball for? University Of North Carolina at Chapel Hill,"(['Michael Jordan'], ['Q41421'])","('Chapel Hill', 'Q192334')",['P69'],['educated at'],"([('question', 'Q5372')], [['P641']])",['what college did _Q_ play _C_ for? University Of North Carolina at _A_\n'],[False]
869,what currency do Mexico use? Mexican peso,"(['currency'], ['Q8142'])","('Mexican peso', 'Q4730')",['P31'],['instance of'],"([('Q96', 'answer')], [['P38']])",['what _Q_ do _C_ use? _A_\n'],[True]
869,what currency do Mexico use? Mexican peso,"(['Mexico'], ['Q96'])","('Mexican peso', 'Q4730')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ do _Q_ use? _A_\n'],[False]
871,who played cruella deville in 102 dalmatians? Glenn Close,"(['cruella'], ['Q388605'])","('Glenn Close', 'Q372311')",['P175'],['performer'],"([('question', 'Q165847')], [['P1441']])",['who played _Q_ deville in _C_? _A_\n'],[False]
871,who played cruella deville in 102 dalmatians? Glenn Close,"(['102 dalmatians'], ['Q165847'])","('Glenn Close', 'Q372311')",['P161'],['cast member'],"([('question', 'Q388605')], [['P674']])",['who played _C_ deville in _Q_? _A_\n'],[False]
874,what is the local currency in The Dominican Republic? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what is the local _Q_ in The _C_? _A_\n'],[True]
874,what is the local currency in The Dominican Republic? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what is the local _C_ in The _Q_? _A_\n'],[False]
875,what timezone is Indianapolis Indiana in? North American Eastern Time Zone,"(['Indiana'], ['Q1415'])","('North American Eastern Time', 'Q941023')",['P421'],['located in time zone'],"([('question', 'Q6346')], [['P36']])",['what timezone is _Q_polis _Q_ in? _A_ Zone\n'],[False]
893,who won last year's Nfl Super Bowl? Baltimore Ravens,"(['Nfl'], ['Q1215884'])","('Baltimore Ravens', 'Q276539')",['P118'],['league'],"([('Q32096', 'question')], [['P664']])","[""who won last year's _Q_ _C_? _A_\n""]",[True]
904,what is the currency in The Dominican Republic called? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what is the _Q_ in The _C_ called? _A_\n'],[True]
904,what is the currency in The Dominican Republic called? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what is the _C_ in The _Q_ called? _A_\n'],[False]
915,where did Kobe Bryant attend high school? Lower Merion High School,"(['Kobe'], ['Q25369'])","('Lower Merion High School', 'Q6693608')",['P69'],['educated at'],"([('Q25369', 'answer')], [['P69']])",['where did _Q_ _C_ attend high school? _A_\n'],[False]
915,where did Kobe Bryant attend high school? Lower Merion High School,"(['Bryant'], ['Q25369'])","('Lower Merion High School', 'Q6693608')",['P69'],['educated at'],"([('Q25369', 'answer')], [['P69']])",['where did _C_ _Q_ attend high school? _A_\n'],[False]
921,when was the last time The New England Patriots won the superbowl? Super Bowl XXXVIII,"(['New England Patriots'], ['Q193390'])","('Super Bowl XXXVIII', 'Q1049630')",['P1346'],['winner'],"([('answer', 'Q32096')], [['P31']])",['when was the last time The _Q_ won the _C_? _A_\n'],[True]
921,when was the last time The New England Patriots won the superbowl? Super Bowl XXXVIII,"(['superbowl'], ['Q32096'])","('Super Bowl XXXVIII', 'Q1049630')",['P31'],['instance of'],"([('answer', 'Q193390')], [['P1923', 'P1346']])",['when was the last time The _C_ won the _Q_? _A_\n'],[True]
943,what currency is best to take to Dominican Republic? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what _Q_ is best to take to _C_? _A_\n'],[True]
943,what currency is best to take to Dominican Republic? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ is best to take to _Q_? _A_\n'],[False]
967,what currency does The Dominican Republic? Dominican peso,"(['currency'], ['Q8142'])","('Dominican peso', 'Q242922')",['P31'],['instance of'],"([('Q786', 'answer')], [['P38']])",['what _Q_ does The _C_? _A_\n'],[True]
967,what currency does The Dominican Republic? Dominican peso,"(['Dominican Republic'], ['Q786'])","('Dominican peso', 'Q242922')",['P38'],['currency'],"([('answer', 'Q8142')], [['P31']])",['what _C_ does The _Q_? _A_\n'],[False]
